,Unnamed: 0,LINEUP_ID,E_VAL,MINS,player_one,player_two,player_three,player_four,player_five,PLAYER_NAMES,PTS,E_VAL_PER_MIN,PTS_PER_MIN
182,32,-201950-1627759-1628436-1630202-1630573-,46.684000000000005,23.145,201950,1627759,1628436,1630202,1630573,"('Jrue Holiday', 'Jaylen Brown', 'Luke Kornet', 'Payton Pritchard', 'Sam Hauser')",46,2.01702311514366,1.9874702959602506
183,23,-201143-1628369-1628401-1630202-1630573-,39.987,19.165,201143,1628369,1628401,1630202,1630573,"('Al Horford', 'Jayson Tatum', 'Derrick White', 'Payton Pritchard', 'Sam Hauser')",58,2.086459692147143,3.0263501174015133
184,32,-201143-204001-1628369-1630202-1630573-,40.154,18.96,201143,204001,1628369,1630202,1630573,"('Al Horford', 'Kristaps Porzingis', 'Jayson Tatum', 'Payton Pritchard', 'Sam Hauser')",40,2.1178270042194094,2.109704641350211
185,185,-204001-1627759-1628369-1628401-1630573-,42.089,18.95,204001,1627759,1628369,1628401,1630573,"('Kristaps Porzingis', 'Jaylen Brown', 'Jayson Tatum', 'Derrick White', 'Sam Hauser')",52,2.2210554089709764,2.7440633245382586
186,25,-201143-201950-1627759-1628369-1630202-,37.606,18.916666666666668,201143,201950,1627759,1628369,1630202,"('Al Horford', 'Jrue Holiday', 'Jaylen Brown', 'Jayson Tatum', 'Payton Pritchard')",47,1.9879823788546256,2.4845814977973566
187,186,-204001-1627759-1628369-1628401-1630202-,37.569,18.781666666666663,204001,1627759,1628369,1628401,1630202,"('Kristaps Porzingis', 'Jaylen Brown', 'Jayson Tatum', 'Derrick White', 'Payton Pritchard')",62,2.0003017126630587,3.301091489928122
188,15,-1627759-1628401-1628436-1630202-1630573-,40.204,21.315,1627759,1628401,1628436,1630202,1630573,"('Jaylen Brown', 'Derrick White', 'Luke Kornet', 'Payton Pritchard', 'Sam Hauser')",57,1.8861834388927985,2.674173117522871
189,28,-201143-201950-1628369-1628436-1630202-,36.085,18.3,201143,201950,1628369,1628436,1630202,"('Al Horford', 'Jrue Holiday', 'Jayson Tatum', 'Luke Kornet', 'Payton Pritchard')",40,1.9718579234972677,2.1857923497267757
190,24,-201143-1627759-1628401-1630202-1630573-,33.806,15.933333333333334,201143,1627759,1628401,1630202,1630573,"('Al Horford', 'Jaylen Brown', 'Derrick White', 'Payton Pritchard', 'Sam Hauser')",37,2.121715481171548,2.3221757322175733
191,36,-201143-204001-1627759-1630202-1630573-,32.265,15.54,201143,204001,1627759,1630202,1630573,"('Al Horford', 'Kristaps Porzingis', 'Jaylen Brown', 'Payton Pritchard', 'Sam Hauser')",39,2.0762548262548264,2.50965250965251
192,192,-204001-1627759-1628401-1629052-1630573-,37.123,15.483333333333333,204001,1627759,1628401,1629052,1630573,"('Kristaps Porzingis', 'Jaylen Brown', 'Derrick White', 'Oshae Brissett', 'Sam Hauser')",32,2.397610333692142,2.0667384284176533
193,26,-201143-1628369-1628436-1630202-1630573-,29.578,14.95,201143,1628369,1628436,1630202,1630573,"('Al Horford', 'Jayson Tatum', 'Luke Kornet', 'Payton Pritchard', 'Sam Hauser')",43,1.9784615384615385,2.876254180602007
194,24,-201143-1627759-1628369-1628401-1630202-,33.953,14.768333333333333,201143,1627759,1628369,1628401,1630202,"('Al Horford', 'Jaylen Brown', 'Jayson Tatum', 'Derrick White', 'Payton Pritchard')",34,2.299040740322763,2.3022232253695973
195,44,-201950-1629004-1629674-1630202-1630573-,39.133,14.466666666666669,201950,1629004,1629674,1630202,1630573,"('Jrue Holiday', 'Svi Mykhailiuk', 'Neemias Queta', 'Payton Pritchard', 'Sam Hauser')",41,2.7050460829493086,2.834101382488479
196,16,-1628436-1629004-1629052-1630202-1630573-,34.382,14.316666666666666,1628436,1629004,1629052,1630202,1630573,"('Luke Kornet', 'Svi Mykhailiuk', 'Oshae Brissett', 'Payton Pritchard', 'Sam Hauser')",41,2.4015366705471477,2.863795110593714
197,30,-201143-201950-1627759-1628369-1628436-,30.164,14.033333333333331,201143,201950,1627759,1628369,1628436,"('Al Horford', 'Jrue Holiday', 'Jaylen Brown', 'Jayson Tatum', 'Luke Kornet')",34,2.1494536817102143,2.422802850356295
198,26,-201143-1627759-1628369-1628401-1630573-,25.98,13.328333333333331,201143,1627759,1628369,1628401,1630573,"('Al Horford', 'Jaylen Brown', 'Jayson Tatum', 'Derrick White', 'Sam Hauser')",26,1.9492309616106043,1.950731524321621
199,17,-1628436-1629052-1630202-1630573-1630625-,30.308,12.571666666666667,1628436,1629052,1630202,1630573,1630625,"('Luke Kornet', 'Oshae Brissett', 'Payton Pritchard', 'Sam Hauser', 'Dalano Banton')",22,2.410817976932255,1.7499668566883202
200,50,-201950-204001-1627759-1628369-1630202-,23.182,12.478333333333332,201950,204001,1627759,1628369,1630202,"('Jrue Holiday', 'Kristaps Porzingis', 'Jaylen Brown', 'Jayson Tatum', 'Payton Pritchard')",30,1.8577801522639243,2.4041672231868576
201,16,-1628369-1628401-1628436-1630202-1630573-,26.734,13.603333333333332,1628369,1628401,1628436,1630202,1630573,"('Jayson Tatum', 'Derrick White', 'Luke Kornet', 'Payton Pritchard', 'Sam Hauser')",29,1.9652536143102184,2.1318304337172265
202,41,-201143-201950-204001-1628369-1630202-,28.499,12.333333333333334,201143,201950,204001,1628369,1630202,"('Al Horford', 'Jrue Holiday', 'Kristaps Porzingis', 'Jayson Tatum', 'Payton Pritchard')",22,2.3107297297297293,1.7837837837837838
203,55,-201950-204001-1627759-1629052-1630202-,25.854,11.795,201950,204001,1627759,1629052,1630202,"('Jrue Holiday', 'Kristaps Porzingis', 'Jaylen Brown', 'Oshae Brissett', 'Payton Pritchard')",31,2.19194573972022,2.6282323018228064
204,29,-201143-1627759-1628369-1628401-1630625-,26.091,11.733333333333333,201143,1627759,1628369,1628401,1630625,"('Al Horford', 'Jaylen Brown', 'Jayson Tatum', 'Derrick White', 'Dalano Banton')",25,2.223664772727273,2.1306818181818183
205,36,-201143-201950-1627759-1628401-1630573-,18.857,11.556666666666668,201143,201950,1627759,1628401,1630573,"('Al Horford', 'Jrue Holiday', 'Jaylen Brown', 'Derrick White', 'Sam Hauser')",18,1.6316988751081625,1.557542543986155
206,48,-201950-1627759-1628369-1628401-1630205-,24.823,11.516666666666667,201950,1627759,1628369,1628401,1630205,"('Jrue Holiday', 'Jaylen Brown', 'Jayson Tatum', 'Derrick White', 'Lamar Stevens')",25,2.155397973950796,2.170767004341534
207,27,-201143-1627759-1628369-1628401-1628436-,23.364,10.905,201143,1627759,1628369,1628401,1628436,"('Al Horford', 'Jaylen Brown', 'Jayson Tatum', 'Derrick White', 'Luke Kornet')",26,2.142503438789546,2.384227418615314
208,52,-201950-1628369-1628436-1629052-1630202-,25.113,10.766666666666667,201950,1628369,1628436,1629052,1630202,"('Jrue Holiday', 'Jayson Tatum', 'Luke Kornet', 'Oshae Brissett', 'Payton Pritchard')",35,2.3324767801857584,3.2507739938080493
209,18,-1628436-1629004-1630202-1630205-1630573-,20.06,10.733333333333333,1628436,1629004,1630202,1630205,1630573,"('Luke Kornet', 'Svi Mykhailiuk', 'Payton Pritchard', 'Lamar Stevens', 'Sam Hauser')",26,1.868944099378882,2.4223602484472053
210,22,-1629004-1629052-1630202-1630205-1630625-,27.324,10.583333333333334,1629004,1629052,1630202,1630205,1630625,"('Svi Mykhailiuk', 'Oshae Brissett', 'Payton Pritchard', 'Lamar Stevens', 'Dalano Banton')",28,2.5817952755905513,2.6456692913385824
211,30,-201143-1627759-1628369-1628401-1629674-,20.195,10.45,201143,1627759,1628369,1628401,1629674,"('Al Horford', 'Jaylen Brown', 'Jayson Tatum', 'Derrick White', 'Neemias Queta')",26,1.9325358851674643,2.488038277511962
212,41,-201143-201950-1627759-1630202-1630573-,19.855,10.371666666666666,201143,201950,1627759,1630202,1630573,"('Al Horford', 'Jrue Holiday', 'Jaylen Brown', 'Payton Pritchard', 'Sam Hauser')",18,1.9143499919652902,1.7354973485457177
213,16,-1627759-1628401-1629674-1630202-1630573-,22.892,10.151666666666667,1627759,1628401,1629674,1630202,1630573,"('Jaylen Brown', 'Derrick White', 'Neemias Queta', 'Payton Pritchard', 'Sam Hauser')",31,2.254999179116729,3.053685765884091
298,41,-1629004-1629052-1629674-1630205-1630625-,5.288,11.066666666666666,1629004,1629052,1629674,1630205,1630625,"('Svi Mykhailiuk', 'Oshae Brissett', 'Neemias Queta', 'Lamar Stevens', 'Dalano Banton')",32,0.47783132530120487,2.891566265060241
409,51,-1628378-1628386-1629622-1629731-1630171-,433.56,200.79666666666665,1628378,1628386,1629622,1629731,1630171,"('Donovan Mitchell', 'Jarrett Allen', 'Max Strus', 'Dean Wade', 'Isaac Okoro')",518,2.1591991898935907,2.579724099005628
410,51,-1628378-1628386-1629622-1629636-1630596-,302.918,145.04,1628378,1628386,1629622,1629636,1630596,"('Donovan Mitchell', 'Jarrett Allen', 'Max Strus', 'Darius Garland', 'Evan Mobley')",345,2.0885135135135138,2.37865416436845
